Date,Time,Temp (air) (F),Temp (water) (C),Salinity (ppt),pH,DO (mg/L),DO (%),Turbidty (NTU),Flow rate (m/s),Nitrate (mg/L),Nitrite (mg/L),Ammonium (mg/L),Phosphate (mg/L),DO-5 (mg/L),BOD (mg/L),TSS (mg/L),Longitude,Latitude
2/17/23,2:12 PM,48,7.77,0.67,8.43,15.09,138.3,4.62,0.09,2.5,0,0.25,0.25,,,18,113.65998 W,37.13201 N
3/10/23,1:00 PM,54,9.93,0.41,8.29,11.15,108.8,17.5,0.22,0,0,0.125,0.25,8.51,2.64,19,113.65998 W,37.13201 N
3/18/23,1:00 PM,56,9.01,0.21,8,10.94,,119,0.98,4,0,0,0.5,,,357.5,113.65998 W,37.13201 N
3/24/23,1:00 PM,50,10.4,0.23,7.86,10.55,103.6,50.7,0.61,0,0,0.25,0.5,6.63,3.92,171.3,113.65998 W,37.13201 N
3/31/23,1:00 PM,51,8.9,0.26,8.15,10.73,107.6,21.8,0.91,2.5,0,0.125,0.5,8.09,2.64,53,113.65998 W,37.13201 N
4/7/23,12:00 PM,58,11.8,0.36,8.05,10.57,107.2,15.5,1.17,2.5,0,0.125,0.25,,10.57,,113.65998 W,37.13201 N
4/14/23,2:36 PM,67,14.6,0.17,8.6,9.27,101,108.3,1.73,1.25,0,0.125,0.5,5.71,3.56,536.7,113.65998 W,37.13201 N
4/21/23,2:00 PM,72,15.39,0.23,8.14,9.21,101,19,1.51,0,0,0,0.25,6.49,2.72,61.7,113.65998 W,37.13201 N
5/5/23,11:10 AM,60,14.01,0.2,8.44,9.16,101.3,10.41,0.95,0,0,0,0.25,4.94,4.22,72.8,113.65998 W,37.13201 N
5/20/23,10:10 AM,74,17.76,0.18,8.32,8.68,100.8,24.6,1.28,0,0,0,0.5,5.68,3,121.8,113.65998 W,37.13201 N
6/2/23,8:31 AM,,17.9,0.48,8.22,8.6,100,11.9,1.06,2.5,0,0.25,0.25,6.19,2.41,51.4,113.65998 W,37.13201 N
6/9/23,8:25 AM,,17.7,0.23,8.3,8.74,101.1,8.01,1.01,0,0,0.125,0,5.38,3.36,74.3,113.65998 W,37.13201 N
6/23/23,5:40 PM,,25.37,0.32,8.68,9.34,125.3,2.8,0.5,0,0,0.25,0.25,6.86,2.48,,113.65998 W,37.13201 N
7/7/23,12:04 PM,,23.2,0.79,8.35,11.58,150.2,-1.03,0.08,0,0,0.25,0.5,8.28,3.3,4.4,113.65998 W,37.13201 N
7/21/23,11:45 AM,97,24.9,0.8,8.28,10.51,139.2,0.52,0.23,0,0,0.5,0.25,5.63,4.88,7.14,113.65998 W,37.13201 N
8/25/23,2:45 PM,94,29.7,0.72,8.55,12.51,182.7,1.16,0.65,2,0,0,0,7.9,4.61,26.5,113.65998 W,37.13201 N
9/10/23,1:25 PM,82,21.4,0.79,8.35,9.19,114.5,1.98,0.84,0,0,0.5,0,5.29,3.9,6,113.65998 W,37.13201 N
10/7/23,10:20 AM,68,16.48,0.86,8.41,11.61,131,,0.17,2.5,0,0.25,0,8.4,3.21,14.67,113.65998 W,37.13201 N
10/21/23,10:07 AM,62,14.38,0.89,8.22,10.01,108.4,,0.11,0,0,0.25,0,8.34,1.67,4.14,113.65998 W,37.13201 N
11/11/23,10:01 AM,46,8.7,0.65,8.2,11.19,104.2,,0.51,2.5,0,0,0,8.29,2.9,7.75,113.65998 W,37.13201 N
12/2/23,10:25 AM,41,8,0.56,8.51,11.72,107.6,,0.7,0,0,0,0,10.62,1.1,5,113.65998 W,37.13201 N
12/14/23,2:05 PM,52,8.19,0.5,8.69,12.63,117.6,,0.775,0,0,0.25,0,9.23,3.4,11,113.65998 W,37.13201 N
1/13/24,1:20 PM,53,4.38,0.38,8.45,12.94,111.7,,0.9921798631,0,0,0.25,0.5,10.13,2.81,,113.65998 W,37.13201 N
1/26/24,2:10 PM,54,10.19,0.45,8.62,11.89,115,,,0,0,0.25,0,,,,113.65998 W,37.13201 N
2/2/24,2:22 PM,,9.8,0.31,8.46,10.62,103.8,163,,1,0,0,0.5,7.24,3.38,,113.65998 W,37.13201 N
2/9/24,1:50 PM,44,8.04,0.04,8.79,11.35,105.7,54.3,1.5,0,0,0,0,8.97,2.38,,113.65998 W,37.13201 N
2/16/24,2:50 PM,62,11.2,0.41,8.14,10.94,107.9,5.49,0.5,0,0,0,0,8.17,2.77,,113.65998 W,37.13201 N
2/23/24,1:32 PM,61,10.3,0.25,7.6,10.74,104.3,27.3,0.86,0,0,0,0,7.73,3.01,,113.65998 W,37.13201 N
3/1/24,1:44 PM,62,13.4,0.37,7.8,10.68,112.9,5.77,0.6,0,0,0.125,0,,,,,
